filename,score,notes
4a67e054-6659-4537-bdd0-9f54348605fb_001.mp4,90,Todo bien
IMG_2393_001.mp4,57,No extensión del brazo
IMG_2393_002.mp4,60,"Muy de frente, poca extensión del brazo"
IMG_2393_003.mp4,50,"Golpe muy bajo, poca extensión"
IMG_2393_004.mp4,60,"Baja posición del brazo, poco giro de muñeca"
IMG_2449_001.mp4,75,Falta inercia hacía delante
IMG_2449_002.mp4,70,Posición muy extendida de rodillas y core
IMG_2449_003.mp4,65,"Pegando en el aire con los pies, falta apoyar"
IMG_2449_004.mp4,65,Posición muy elevada
IMG_2449_005.mp4,70,Muy extendido
IMG_2449_006.mp4,67,El cuerpo no tiene la inclinación correcta
IMG_2449_007.mp4,72,El cuerpo para atrás
IMG_2449_008.mp4,60,
IMG_2449_009.mp4,76,"Buena posición en general, un poco bajo los brazos"
IMG_2449_010.mp4,70,"Pegada en extensión pero delante, bajo izquierdo bajo"
IMG_2449_011.mp4,53,No ha finalizado el golpe correctamente
IMG_2449_012.mp4,59,Falta de rotación de hombros y giro de muñeca
IMG_2449_013.mp4,58,
IMG_2449_014.mp4,55,"Posición muy retrasada, torsión de hombros deficiente"
IMG_2449_015.mp4,52,Falta torsión de hombros
IMG_2449_016.mp4,65,Pegada en salto y falta de extensión de brazo
IMG_2449_017.mp4,60,Posición muy baja
IMG_2449_018.mp4,64,Cuerpo para atrás
IMG_2449_019.mp4,70,Falta de extensión quizás
IMG_2449_020.mp4,69,
IMG_2650_001.mp4,82,
IMG_2650_002.mp4,75,Es un golpe extremo pero hay ciertas dinámicas correctas
IMG_2653_001.mp4,85,Buen golpe
IMG_2653_002.mp4,88,
IMG_2653_003.mp4,90,
IMG_2655_001.mp4,67,Golpeo yéndose para atrás
IMG_2655_002.mp4,69,"El cuerpo se va un poco para atrás y no termina de cerrar el golpe completamente, aunque la dinámica es correcta en su mayoría"
IMG_2655_003.mp4,92,Prácticamente excelente
IMG_2655_004.mp4,83,Pegada en el aire a consecuencia de la altura de la pelota
IMG_2655_005.mp4,75,Falta de posición estable
IMG_2656_001.mp4,95,
IMG_2656_002.mp4,78,"Se golpea bajo porque la bola va baja, por lo demás es correcto"
IMG_2656_003.mp4,72,Golpeo yéndose para atrás
IMG_2656_004.mp4,79,Buena posición pero se va el brazo muy para arriba
IMG_2656_005.mp4,30,No se golpea correctamente a la bola y se está muy alejado
IMG_2657_001.mp4,97,Muy buena
IMG_2657_002.mp4,98,Muy buena
IMG_2659_001.mp4,75,"Golpeo en el aire, es cierto que a consecuencia de la altura de la bola"
IMG_2659_002.mp4,83,Un poco extendido
IMG_2659_003.mp4,87,
IMG_2659_004.mp4,80,Pierna izquierda extendida
IMG_2662_001.mp4,85,Falta de un poco de apoyo en pierna izquierda
IMG_2662_002.mp4,83,
